Geographic area name,,,2012 NAICS code,Meaning of 2012 NAICS code,,,Meaning of Type of operation or tax status code,,Year,Number of establishments,"Value of sales, shipments, receipts, revenue, or business done ($1,000)","Annual payroll ($1,000)","First-quarter payroll ($1,000)",Number of employees,Number of nonemployer establishments,"Nonemployer value of sales, shipments, receipts, revenue, or business done ($1,000)"
West Virginia,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"1,205","7,133,914","2,716,974","663,954","71,675",N,N
West Virginia,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,756,"631,768","128,392","30,394","8,349","4,055","74,941"
West Virginia,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,631,"550,089","98,914","23,816","6,055",N,N
West Virginia,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,125,"81,679","29,478","6,578","2,294",N,N
West Virginia,,,72,Accommodation and food services,,,Total,,2012,"3,629","4,036,333","975,942","230,705","66,302","1,276","60,280"
West Virginia,,,81,Other services (except public administration),,,All establishments,,2012,"2,661","1,773,288","443,622","109,705","16,583","15,046","330,059"
West Virginia,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"2,003","1,246,803","343,211","85,224","12,728",N,N
West Virginia,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,658,"526,485","100,411","24,481","3,855",N,N
Wisconsin,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,145,"1,149,647","244,055",N,"4,059",143,"10,897"
Wisconsin,,,22,Utilities,,,Total,,2012,323,Q,"1,247,335","365,902","14,046",190,"8,443"
Wisconsin,,,23,Construction,,,Total,,2012,"12,211","25,617,014","5,063,372","1,014,086","102,538","38,485","2,151,978"
Wisconsin,,,42,Wholesale trade,,,Wholesale Trade,,2012,"7,113","111,020,748","6,250,060","1,505,353","113,112","6,604","526,967"
Wisconsin,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,"5,990","77,066,883","5,253,582","1,254,630","97,040",N,N
Wisconsin,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,369,"24,278,514","791,203","201,670","10,982",N,N
Wisconsin,,,44-45,Retail trade,,,Total,,2012,"19,272","78,201,822","6,835,034","1,660,293","296,956","37,873","1,316,015"
Wisconsin,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,"5,251","13,099,930","3,707,470","900,021","97,724","13,266","1,204,530"
Wisconsin,,,51,Information,,,Total,,2012,"2,295",N,"2,981,634","742,897","52,807","4,128","107,037"
Wisconsin,,,52,Finance and insurance,,,Total,,2012,"9,177",N,"9,149,450","2,593,988","140,391","11,823","669,745"
Wisconsin,,,53,Real estate and rental and leasing,,,Total,,2012,"4,509","4,358,905","801,146","187,325","23,762","38,182","3,618,653"
Wisconsin,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"11,301","15,134,990","5,738,322","1,344,611","99,162","42,827","1,504,643"
Wisconsin,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"11,253","15,028,887","5,701,209","1,334,765","98,507",N,N
Wisconsin,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,48,"106,103","37,113","9,846",655,N,N
Wisconsin,,,55,Management of companies and enterprises,,,Total,,2012,"1,084","1,413,394","5,928,534","1,604,008","66,871",N,N
Wisconsin,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,"6,786","8,033,646","3,857,814","909,377","139,859","20,748","439,077"
Wisconsin,,,61,Educational services,,,All establishments,,2012,"1,005","604,398","198,649","50,245","8,819","8,351","102,020"
Wisconsin,,,61,Educational services,,,Establishments subject to federal income tax,,2012,754,"441,924","146,791","37,601","6,546",N,N
Wisconsin,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,251,"162,474","51,858","12,644","2,273",N,N
Wisconsin,,,62,Health care and social assistance,,,All establishments,,2012,"14,659","40,680,625","16,257,628","3,906,391","386,141","23,964","585,614"
Wisconsin,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"11,460","16,357,205","7,784,613","1,817,346","175,153",N,N
Wisconsin,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,"3,199","24,323,420","8,473,015","2,089,045","210,988",N,N
Wisconsin,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,"2,655","3,181,613","1,053,084","218,024","43,555","19,620","331,009"
Wisconsin,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,"1,966","2,548,108","826,101","165,304","28,433",N,N
Wisconsin,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,689,"633,505","226,983","52,720","15,122",N,N
Wisconsin,,,72,Accommodation and food services,,,Total,,2012,"14,137","10,303,256","2,764,327","645,826","221,567","5,964","318,216"
Wisconsin,,,81,Other services (except public administration),,,All establishments,,2012,"10,210","6,406,723","1,732,203","415,355","62,054","50,239","1,208,480"
Wisconsin,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,"8,338","4,015,874","1,242,396","298,584","47,662",N,N
Wisconsin,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,"1,872","2,390,849","489,807","116,771","14,392",N,N
Wyoming,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,810,"20,876,752","2,298,240",N,"32,321","1,397","128,409"
Wyoming,,,22,Utilities,,,Total,,2012,138,Q,"203,277","51,624","2,435",57,"3,446"
Wyoming,,,23,Construction,,,Total,,2012,"2,613","4,184,086","958,692","210,326","21,300","4,595","237,410"
Wyoming,,,42,Wholesale trade,,,Wholesale Trade,,2012,839,"7,237,839","476,944","114,880","8,290",609,"47,816"
Wyoming,,,42,Wholesale trade,,,"Merchant wholesalers, except manufacturers' sales branches and offices",,2012,709,"5,597,891","398,705","94,992","7,003",N,N
Wyoming,,,42,Wholesale trade,,,Manufacturers' sales branches and offices,,2012,87,"1,243,905","72,410","18,731","1,134",N,N
Wyoming,,,44-45,Retail trade,,,Total,,2012,"2,681","9,446,043","796,019","185,141","30,088","4,432","156,386"
Wyoming,,,48-49 (104),Transportation and warehousing (104),,,Total,,2012,988,"1,800,869","466,688","113,363","10,133","1,605","131,589"
Wyoming,,,51,Information,,,Total,,2012,331,N,"173,142","42,113","3,998",520,"24,162"
Wyoming,,,52,Finance and insurance,,,Total,,2012,992,N,"330,230","82,648","6,707","1,335","90,880"
Wyoming,,,53,Real estate and rental and leasing,,,Total,,2012,"1,076","1,259,140","215,551","51,790","4,546","6,896","561,347"
Wyoming,,,54,"Professional, scientific, and technical services",,,All establishments,,2012,"2,141","1,297,371","466,961","104,629","9,134","5,583","271,811"
Wyoming,,,54,"Professional, scientific, and technical services",,,Establishments subject to federal income tax,,2012,"2,132",D,D,D,i,N,N
Wyoming,,,54,"Professional, scientific, and technical services",,,Establishments exempt from federal income tax,,2012,9,D,D,D,c,N,N
Wyoming,,,55,Management of companies and enterprises,,,Total,,2012,87,D,D,D,f,N,N
Wyoming,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,954,"539,465","181,015","41,814","6,450","3,167","63,764"
Wyoming,,,61,Educational services,,,All establishments,,2012,142,"94,765","29,012","6,490","1,201",992,"14,155"
Wyoming,,,61,Educational services,,,Establishments subject to federal income tax,,2012,98,"62,025","16,481","3,634",716,N,N
Wyoming,,,61,Educational services,,,Establishments exempt from federal income tax,,2012,44,"32,740","12,531","2,856",485,N,N
Wyoming,,,62,Health care and social assistance,,,All establishments,,2012,"1,898","3,291,478","1,361,877","321,355","31,340","3,470","118,085"
Wyoming,,,62,Health care and social assistance,,,Establishments subject to federal income tax,,2012,"1,457","1,486,240","607,656","137,312","13,706",N,N
Wyoming,,,62,Health care and social assistance,,,Establishments exempt from federal income tax,,2012,441,"1,805,238","754,221","184,043","17,634",N,N
Wyoming,,,71,"Arts, entertainment, and recreation",,,All establishments,,2012,428,"248,460","79,303","20,316","3,971","2,502","50,769"
Wyoming,,,71,"Arts, entertainment, and recreation",,,Establishments subject to federal income tax,,2012,317,"168,939","57,050","15,449","2,922",N,N
Wyoming,,,71,"Arts, entertainment, and recreation",,,Establishments exempt from federal income tax,,2012,111,"79,521","22,253","4,867","1,049",N,N
Wyoming,,,72,Accommodation and food services,,,Total,,2012,"1,799","1,644,844","468,664","105,323","27,580",668,"25,610"
Wyoming,,,81,Other services (except public administration),,,All establishments,,2012,"1,373","884,596","214,870","51,426","6,655","6,093","166,404"
Wyoming,,,81,Other services (except public administration),,,Establishments subject to federal income tax,,2012,998,"660,176","169,638","40,769","5,095",N,N
Wyoming,,,81,Other services (except public administration),,,Establishments exempt from federal income tax,,2012,375,"224,420","45,232","10,657","1,560",N,N
American Samoa,,,00,Total for all sectors,,,Total,,2012,377,"1,153,632","114,048","27,331","7,070",N,N
American Samoa,,,22,Utilities,,,Total,,2012,1,D,D,D,e,N,N
American Samoa,,,23,Construction,,,Total,,2012,20,"31,403","5,431","1,482",432,N,N
American Samoa,,,31-33,Manufacturing,,,Total,,2012,25,D,D,D,g,N,N
American Samoa,,,42,Wholesale trade,,,Total,,2012,16,"275,152","4,618","1,307",253,N,N
American Samoa,,,44-45,Retail trade,,,Total,,2012,136,"209,954","17,240","4,188","1,435",N,N
American Samoa,,,48-49,Transportation and warehousing,,,Total,,2012,22,"18,780","3,492",834,255,N,N
American Samoa,,,51,Information,,,Total,,2012,8,"15,612","3,055",737,148,N,N
American Samoa,,,52,Finance and insurance,,,Total,,2012,11,"15,327","3,081",883,101,N,N
American Samoa,,,53,Real estate and rental and leasing,,,Total,,2012,19,"6,391",848,183,67,N,N
American Samoa,,,54,"Professional, scientific, and technical services",,,Total,,2012,22,"19,535","5,220","1,302",254,N,N
American Samoa,,,55,Management of companies and enterprises,,,Total,,2012,4,902,562,132,22,N,N
American Samoa,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,15,"5,951","1,459",315,151,N,N
American Samoa,,,61,Educational services,,,Total,,2012,3,678,154,85,a,N,N
American Samoa,,,62,Health care and social assistance,,,Total,,2012,12,"10,726","20,827","4,591",707,N,N
American Samoa,,,71,"Arts, entertainment, and recreation",,,Total,,2012,3,378,55,15,a,N,N
American Samoa,,,72,Accommodation and food services,,,Total,,2012,36,"28,924","6,172","1,622",574,N,N
American Samoa,,,81,Other services (except public administration),,,Total,,2012,24,"14,177","1,223",296,123,N,N
Guam,,,00,Total for all sectors,,,Total,,2012,"3,099","7,736,883","1,287,327","316,968","53,579",N,N
Guam,,,22,Utilities,,,Total,,2012,7,"567,874","47,251","12,234",934,N,N
Guam,,,23,Construction,,,Total,,2012,320,"750,368","166,511","40,288","6,722",N,N
Guam,,,31-33,Manufacturing,,,Total,,2012,54,"122,589","28,020","6,548","1,282",N,N
Guam,,,42,Wholesale trade,,,Total,,2012,177,"982,335","65,863","16,219","2,505",N,N
Guam,,,44-45,Retail trade,,,Total,,2012,630,"1,980,280","183,983","45,748","8,879",N,N
Guam,,,48-49,Transportation and warehousing,,,Total,,2012,85,"196,853","54,580","13,074","1,916",N,N
Guam,,,51,Information,,,Total,,2012,61,"300,969","58,523","14,986","1,722",N,N
Guam,,,52,Finance and insurance,,,Total,,2012,127,"679,668","78,913","20,269","1,983",N,N
Guam,,,53,Real estate and rental and leasing,,,Total,,2012,265,"226,042","42,688","10,279","1,912",N,N
Guam,,,54,"Professional, scientific, and technical services",,,Total,,2012,241,"294,211","104,528","24,560","2,737",N,N
Guam,,,55,Management of companies and enterprises,,,Total,,2012,8,"3,732","7,618","1,689",182,N,N
Guam,,,56,Administrative and support and waste management and remediation services,,,Total,,2012,156,"171,003","67,669","16,635","3,205",N,N
Guam,,,61,Educational services,,,Total,,2012,36,"24,788","8,696","2,230",435,N,N
Guam,,,62,Health care and social assistance,,,Total,,2012,200,"364,966","119,346","29,581","3,475",N,N
Guam,,,71,"Arts, entertainment, and recreation",,,Total,,2012,58,"73,151","19,842","4,854","1,074",N,N
Guam,,,72,Accommodation and food services,,,Total,,2012,450,"789,844","189,446","47,021","12,575",N,N
Guam,,,81,Other services (except public administration),,,Total,,2012,224,"208,209","43,848","10,754","2,038",N,N
Commonwealth of the Northern Mariana Islands,,,00,Total for all sectors,,,Total,,2012,"1,339","1,323,742","208,434","51,887","14,215",N,N
Commonwealth of the Northern Mariana Islands,,,21,"Mining, quarrying, and oil and gas extraction",,,Total,,2012,1,D,D,D,b,N,N
Commonwealth of the Northern Mariana Islands,,,22,Utilities,,,Total,,2012,6,D,D,D,e,N,N
Commonwealth of the Northern Mariana Islands,,,23,Construction,,,Total,,2012,62,"37,230","7,707","2,009",821,N,N
Commonwealth of the Northern Mariana Islands,,,31-33,Manufacturing,,,Total,,2012,39,"20,887","6,700","1,738",592,N,N
Commonwealth of the Northern Mariana Islands,,,42,Wholesale trade,,,Total,,2012,74,"246,827","10,746","2,685",716,N,N
Commonwealth of the Northern Mariana Islands,,,44-45,Retail trade,,,Total,,2012,284,"314,066","30,662","8,002","2,463",N,N
Commonwealth of the Northern Mariana Islands,,,48-49,Transportation and warehousing,,,Total,,2012,26,"46,438","11,387","2,847",641,N,N
Commonwealth of the Northern Mariana Islands,,,51,Information,,,Total,,2012,20,"25,138","8,384","2,064",323,N,N
Commonwealth of the Northern Mariana Islands,,,52,Finance and insurance,,,Total,,2012,47,"57,560","8,559","2,238",327,N,N
Commonwealth of the Northern Mariana Islands,,,53,Real estate and rental and leasing,,,Total,,2012,177,"30,675","8,305","1,932",694,N,N
Commonwealth of the Northern Mariana Islands,,,54,"Professional, scientific, and technical services",,,Total,,2012,105,"28,703","9,710","2,394",602,N,N
Commonwealth of the Northern Mariana Islands,,,55,Management of companies and enterprises,,,Total,,2012,4,D,D,D,b,N,N
